id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6927566,OCEAN LINKS YAMBA (Dog friendly),30598373,Nola,CLARENCE VALLEY COUNCIL,-29.443982933029943,153.36246730431088,Private room,50,3,1,2016-02-10,0.56,2,181
4961195,Beachside home inside national park,6551607,Paul,CLARENCE VALLEY COUNCIL,-29.779137914963975,153.29714602649423,Entire home/apt,120,2,3,2015-10-06,0.21,1,355
8226463,Walk to the beach & enjoy nature,43379314,Heidi,CLARENCE VALLEY COUNCIL,-29.599207935603463,153.33058728220362,Entire home/apt,59,2,16,2016-03-05,2.51,1,339
9810622,Araluen Cottage - Clarence River,49474549,Leanne,CLARENCE VALLEY COUNCIL,-29.633149163708342,153.0273232095628,Entire home/apt,100,2,0,,,1,60
11774884,Iluka NSW,62685547,Jennifer,CLARENCE VALLEY COUNCIL,-29.407114187593965,153.3515046207131,Entire home/apt,120,1,0,,,1,305
3775920,Spectacular views from beach house,19362447,Simon,CLARENCE VALLEY COUNCIL,-29.609630492593386,153.33847383752774,Entire home/apt,180,2,1,2015-09-27,0.16,1,364
6134614,Own Private level in our home,9097958,Kerrie,CLARENCE VALLEY COUNCIL,-29.461759103894842,153.20739269411848,Entire home/apt,120,2,16,2016-01-18,1.76,1,364
6528814,Stunning cottage right on the beach,32545707,Georgie,CLARENCE VALLEY COUNCIL,-29.873177425432274,153.26678753596525,Entire home/apt,224,5,2,2016-02-06,0.37,1,305
4296665,Family daycare Home for Rent,22305693,Vanessa,CLARENCE VALLEY COUNCIL,-29.430929328948125,153.33186939517833,Entire home/apt,300,2,4,2016-03-30,0.26,1,2
9929264,Bamboosa Island Retreat,51041317,Tricia,CLARENCE VALLEY COUNCIL,-29.41900251112817,153.2839773580253,Entire home/apt,180,2,2,2016-01-02,0.63,1,27
9799208,Beachside Getaway (dog friendly),30598373,Nola,CLARENCE VALLEY COUNCIL,-29.44289310681814,153.36341858866672,Private room,50,2,2,2016-03-10,1.67,2,0
7439850,Beautiful Home  Angourie -Shelleys,26484826,Justine,CLARENCE VALLEY COUNCIL,-29.480211649763923,153.3581813713025,Entire home/apt,220,3,1,2016-03-22,1,5,327
5739738,"Jump to beach, own entrance, quiet",1972357,Alicia,CLARENCE VALLEY COUNCIL,-29.442385574518326,153.36458584351428,Private room,74,1,31,2016-03-22,2.72,2,347
2062942,The Boathouse,10557251,Vicki,CLARENCE VALLEY COUNCIL,-29.436038942425398,153.35720652890257,Entire home/apt,240,2,2,2015-07-10,0.08,1,318
2979252,Jasper Falls Cottage near Nymboida ,15195937,Eva,CLARENCE VALLEY COUNCIL,-29.883298923825247,152.63557731542193,Entire home/apt,95,2,2,2014-11-16,0.11,1,302
5471571,"Peaceful, family friendly cabin",28379386,Anne,CLARENCE VALLEY COUNCIL,-29.464580447535372,153.24846509961225,Private room,120,1,15,2016-03-26,1.23,1,336
1930068,Lakeside,1375455,Ros And These Are My Boys,CLARENCE VALLEY COUNCIL,-29.479552545044953,153.34266634284091,Entire home/apt,119,3,5,2016-01-21,0.33,1,51
10057234,Townhouse in idyllic beach town,42532684,John,CLARENCE VALLEY COUNCIL,-29.402321757130544,153.34845885538164,Entire home/apt,120,2,1,2016-01-27,0.45,1,347
2718339,modern beach house in quiet area,11170997,Maureen,CLARENCE VALLEY COUNCIL,-29.85575416643538,153.26762663589165,Entire home/apt,100,4,6,2016-01-08,0.41,1,289
4810999,The Buddha Room,21268077,George,CLARENCE VALLEY COUNCIL,-30.23099530135031,152.50522997407526,Private room,170,1,2,2015-12-20,0.17,1,91
6251934,Tuckeroo - Minnie Water Beach House,32473286,Brian,CLARENCE VALLEY COUNCIL,-29.774915825729106,153.29724808040078,Entire home/apt,110,2,10,2016-03-18,1.22,1,326
9136053,Craigmore on the Beach unit 12,43822888,Angela,CLARENCE VALLEY COUNCIL,-29.43788483353348,153.36536831642726,Entire home/apt,200,2,2,2016-02-17,0.48,3,231
10575754,Angourie Surfing Nirvana,54551144,James,CLARENCE VALLEY COUNCIL,-29.478778871272844,153.3588665391696,Private room,80,1,4,2016-03-16,1.54,2,364
10441926,"Off grid shed, pole frame",53793847,Chris,CLARENCE VALLEY COUNCIL,-29.98459811013566,152.9821765272286,Shared room,30,1,0,,,1,365
10575184,Angourie Surfing Nirvana,54551144,James,CLARENCE VALLEY COUNCIL,-29.47928602935454,153.3579667114141,Private room,80,1,0,,,2,365
2315629,"Funky home, secret surf beaches.",8963177,Deby And Alan,CLARENCE VALLEY COUNCIL,-29.40022512685065,153.35072291670497,Private room,80,1,19,2016-03-26,0.76,2,356
1527207,Cosy Cow Bed and Breakfast Farmstay,5218275,Julie,CLARENCE VALLEY COUNCIL,-29.338229059903313,153.22391200205055,Private room,185,1,0,,,2,359
