id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7045303,Private room/entrance w/ full bath,6676667,Elizabeth,28806,35.57816005140944,-82.60323545618247,Private room,79,2,10,2016-03-06,1.07,2,361
2605290,2bd/1ba West Asheville Bungalow,12052929,Laura,28806,35.58195538677343,-82.5990210865714,Private room,125,1,4,2014-06-03,0.16,1,203
881707,West A'ville sanctuary in the trees,4664726,Jakub & Maria,28806,35.56893076072521,-82.59474845280137,Entire home/apt,92,3,164,2016-04-21,5.28,1,89
6197585,Sunny West Asheville Studio Apt.,32065101,Aimee,28806,35.568292433540776,-82.61404848985703,Entire home/apt,80,1,37,2016-04-17,3.32,1,354
8265544,5 Star Luxury Near Dwntwn & Bltmore,43536753,Tracy And Brent,28806,35.54309811239776,-82.60115667939668,Entire home/apt,188,2,38,2016-04-14,5.62,1,278
266511,New Garage Apartment! Sleeps 3,266195,Amanda,28806,35.57558111075439,-82.62304912283055,Entire home/apt,95,1,116,2016-04-09,3.73,1,293
3522532,Quiet Luxurious Studio-Guest House,4846203,Zak & Iz,28806,35.580123829781634,-82.60711441578741,Entire home/apt,80,2,67,2016-04-07,3.36,1,87
3522134,Delightful 3BD bungalow +great yard,17736312,Melissa & Ron,28806,35.58500766642099,-82.6082794132168,Entire home/apt,145,2,47,2016-04-10,2.18,1,229
3569783,The Refuge in West Asheville,17973365,Cat & Jeff,28806,35.576232665517516,-82.59553117554613,Entire home/apt,125,1,137,2016-04-22,6.45,1,153
1422958,10 Minutes From Downtown: Zen Den,6705868,Cindy,28806,35.51540280628256,-82.59542742992807,Entire home/apt,85,2,22,2016-04-11,0.67,2,358
5231708,Charming Bungalow in West Asheville,27076457,Penny,28806,35.573428795140806,-82.6123326388182,Entire home/apt,195,2,20,2016-04-08,1.59,1,262
11238909,West Asheville Home,8363482,Santina,28806,35.567795706591035,-82.61857253428852,Entire home/apt,300,7,0,,,2,8
6071161,Garden Bungalow,3311410,Reid,28806,35.57433908642318,-82.59630507572719,Entire home/apt,160,1,11,2015-09-07,0.98,1,33
10491232,Asheville Outdoor Retreat,44931474,Tiffany,28806,35.50605635858978,-82.61430420013248,Entire home/apt,200,2,0,,,1,339
9442229,Cozy and Convenient West Asheville,12574134,Laura,28806,35.57113173825051,-82.59216259006335,Entire home/apt,100,1,10,2016-01-03,2.08,1,321
11545230,Green Treehouse - Artist Home,60921853,Dustin,28806,35.57098113666965,-82.57508888503119,Entire home/apt,75,1,3,2016-04-17,3,1,157
9461860,Cozy private room in W. Asheville.,49031337,Susan M,28806,35.576211522929356,-82.60473292729094,Private room,50,1,0,,,1,293
7361005,"close-in and cute, studio in woods",9826385,Lea Peace,28806,35.59009355477982,-82.59378589213804,Entire home/apt,86,3,3,2015-10-26,0.33,1,89
353092,ATHENA'S LOFT:  Find yourself here!,1788071,Beth,28806,35.58217066823767,-82.59996828985949,Entire home/apt,72,1,210,2016-04-10,6.50,1,247
4215788,Quiet Retreat in West Asheville!,21879072,Laurie,28806,35.59057229087288,-82.61075598967626,Private room,65,2,20,2015-11-01,1.08,2,343
1076053,Trish's West Asheville Getaway,2726966,Trish,28806,35.57616212773468,-82.60581136327,Private room,75,1,56,2016-04-17,1.80,1,92
8426203,Private floor & separate entrance,13705071,Carrie,28806,35.575199519730546,-82.59142353850532,Private room,85,1,8,2016-04-02,1.13,1,68
9476164,"Walk to cafes, coffee/tea, music",49114420,Lori,28806,35.57493421910983,-82.59198701943217,Entire home/apt,92,2,17,2016-04-17,3.38,1,76
6325103,"380+ reviews
Tiny Cottage in W ASHV",940569,Cathy,28806,35.58144553086011,-82.58539906896345,Entire home/apt,105,3,17,2016-04-05,1.53,6,79
9967584,Family-friendly West Asheville Home,17846163,Michele,28806,35.57057539170295,-82.61597057368623,Entire home/apt,105,1,1,2015-12-31,0.27,1,0
4249688,Convenient Location and Beer Themed,5804140,Shawndra,28806,35.57752900328954,-82.60997638650375,Entire home/apt,90,1,92,2016-04-12,5.44,1,317
2142139,Spacious Room in West Asheville,5564999,Breccia,28806,35.58691836515712,-82.57496218135341,Private room,55,1,13,2015-11-15,0.65,2,28
7387243,Private suite with private entrance,38698862,Dolly,28806,35.508282553905374,-82.6051126196557,Private room,75,2,25,2016-04-02,2.79,1,347
10545839,Full Apartment with fenced in yard.,1766838,Ben & Monica,28806,35.598488366458284,-82.5929297831125,Entire home/apt,139,2,3,2016-04-10,3,1,160
6362732,W. Asheville peaceful & convenient,6188448,Lauren,28806,35.57252793284135,-82.60049588350404,Entire home/apt,90,2,0,,,1,0
7001873,Country Peacefulness near Town,11298793,Miriam,28806,35.59171081828567,-82.59721019142516,Entire home/apt,79,2,64,2016-04-08,6.51,1,319
761414,"Airy, affordable 2 bedrooms w/bath",1098412,Susanne,28806,35.58313825263531,-82.59721695266202,Private room,78,2,6,2016-03-28,0.85,2,360
6332993,Private West Asheville Apartment,32967295,William,28806,35.57374410224082,-82.6077683514901,Entire home/apt,120,2,13,2015-12-31,2.11,1,0
6822844,"Central Location, Mountain Views",5402122,Ela,28806,35.577196201551445,-82.5719975072682,Private room,55,1,20,2015-10-26,2.07,1,2
12246414,Comfortable and cute bungalow,65916322,Amy,28806,35.57881586529918,-82.61832791528475,Entire home/apt,160,2,0,,,1,88
1127777,Modern Meets Zen - West Asheville,6187751,Hun,28806,35.573813773383144,-82.59376934710319,Private room,88,1,102,2016-04-11,2.97,1,72
2176375,Simple Little Guest House,11100294,Jane,28806,35.567776662059316,-82.58778390461762,Entire home/apt,110,2,137,2016-04-18,5.18,1,311
8576671,Private Entrance to Two-Room Suite,28917163,Anne,28806,35.56751255428068,-82.61780074101736,Private room,62,1,15,2016-04-17,2.33,1,77
67870,Your Own Floor! 1 bdrm W. Asheville,335286,Rae & Michael,28806,35.55370677298487,-82.62629725083139,Private room,70,1,160,2016-04-16,2.62,2,361
1138179,West Asheville ,6243494,Mark,28806,35.586274944710155,-82.60428306588152,Private room,60,1,0,,,1,298
8505396,Private new in law suite in W AVL,44110683,Stephanie,28806,35.57532525421638,-82.59692775519018,Private room,80,1,12,2016-04-17,1.95,1,76
2500681,Cozy Yoga Retreat Walk 2 River Park,12799043,Anna,28806,35.57023941967119,-82.57356317351976,Private room,65,2,2,2016-02-21,0.90,1,364
8496052,Harry's Hillside Hideout,44741011,Harry,28806,35.5940937437725,-82.6346119479184,Entire home/apt,149,1,18,2016-04-11,2.60,1,331
9531839,Charming Tiny Country Cottage,49374896,Emily,28806,35.64211098866392,-82.64601051558554,Entire home/apt,100,1,0,,,1,29
2192480,Ideal for Traveling Professional,6705868,Cindy,28806,35.51749214683916,-82.59415823830574,Private room,50,1,8,2016-01-01,0.30,2,358
9532795,West Asheville bungalow,43976649,Kesi,28806,35.57030583811499,-82.57808720215573,Entire home/apt,120,1,13,2016-04-10,2.71,1,41
11656161,Private Room in West Asheville,7657510,Cat,28806,35.57216101679891,-82.6127286005685,Private room,32,2,0,,,4,344
197263,Tranquil Yogic Bungalow: Private Rm,961396,Timo,28806,35.58266142549488,-82.59487958108065,Private room,54,2,36,2016-04-11,0.80,1,361
3268055,Cedar Springs Farm- Apartment,167473,Kelly,28806,35.58751463429254,-82.63688789660073,Entire home/apt,68,2,62,2016-03-30,2.80,1,197
4387472,Cute room in West Asheville,1110316,Dustin,28806,35.59465897414314,-82.61111741437755,Private room,89,2,1,2015-10-11,0.16,1,365
10583310,Mountain views minutes from brews,43095235,Terra,28806,35.57591331649779,-82.58208710342241,Private room,85,2,0,,,2,326
136547,  Charming Sunny Cottage and Porch,653292,Joann,28806,35.57744319861924,-82.60731802897858,Entire home/apt,99,3,38,2015-10-25,0.69,1,316
6419437,Lovely 1926 home in West Asheville,28782478,Laurie,28806,35.58297335600109,-82.58944815119042,Entire home/apt,200,4,3,2015-11-29,0.33,1,4
8504628,West Asheville In-law Suite,7908673,Eric,28806,35.57246364292534,-82.6144483796148,Entire home/apt,81,1,53,2016-04-18,7.57,1,321
2298596,The front of the house is yours,2722248,Laura,28806,35.576439357921686,-82.57974094676047,Private room,98,2,22,2015-12-14,0.91,1,359
10647402,West Asheville Room,19335705,Jessica,28806,35.551026761318376,-82.63553247937523,Private room,45,1,2,2016-04-11,2,1,364
726625,Cozy West Asheville Home,1307595,Pam,28806,35.57140704441955,-82.57728169007986,Entire home/apt,75,2,185,2016-04-01,4.32,1,203
